,stat_date,client_id,c_owner_verified_deal_concentration,n_owner_verified_deal_concentration,c_notary_datacap_alloc_concentration,n_notary_datacap_alloc_concentration,c_total_datacap_received,n_total_datacap_received,c_total_datacap_used,n_total_datacap_used,c_datacap_utilization_rate,n_datacap_utilization_rate,c_max_single_provider_datacap_spent,n_max_single_provider_datacap_spent,c_max_single_notary_datacap_received,n_max_single_notary_datacap_received,c_top3_provider_datacap_spent,n_top3_provider_datacap_spent,c_top3_notary_datacap_received,n_top3_notary_datacap_received,c_top3_provider_concentration_verified,n_top3_provider_concentration_verified,c_top3_notary_concentration,n_top3_notary_concentration,c_top5_provider_concentration_verified,n_top5_provider_concentration_verified,c_top5_notary_concentration,n_top5_notary_concentration,c_verified_deal_duration_avg,n_verified_deal_duration_avg,c_verified_deal_duration_std,n_verified_deal_duration_std,c_avg_price_per_epoch_per_unit_verified,n_avg_price_per_epoch_per_unit_verified,c_frac_paid_verified_deals,n_frac_paid_verified_deals,c_verified_deal_frequency,n_verified_deal_frequency,c_datacap_to_deal_timelapse_min,n_datacap_to_deal_timelapse_min,c_datacap_to_deal_timelapse_avg,n_datacap_to_deal_timelapse_avg,create_ts,stat_date_in_month,p_owner_verified_deal_concentration,p_notary_datacap_alloc_concentration,p_total_datacap_received,p_total_datacap_used,p_datacap_utilization_rate,p_max_single_provider_datacap_spent,p_max_single_notary_datacap_received,p_top3_provider_datacap_spent,p_top3_notary_datacap_received,p_top3_provider_concentration_verified,p_top3_notary_concentration,p_top5_provider_concentration_verified,p_top5_notary_concentration,p_verified_deal_duration_avg,p_verified_deal_duration_std,p_avg_price_per_epoch_per_unit_verified,p_frac_paid_verified_deals,p_verified_deal_frequency,p_datacap_to_deal_timelapse_min,p_datacap_to_deal_timelapse_avg
0,2023-04-27,f01524687,0.9982847341337907,0.9982932637699589,0.33333333333333337,0.3444444444444445,164961103904768.0,0.006169047718835916,128663506911232.0,0.004964466303449839,0.7799626934208043,0.012558949222057553,31304605237248.0,0.012986617955234796,164926744166400.0,0.006167762768177517,83318345302016.0,0.02086105187673638,164961103904768.0,0.006169047718835916,0.6475678092584504,0.6101571976109069,1.0,1.0,0.912249033809925,0.8959416032083934,1.0,1.0,1524826.1463693539,0.9771680359503297,15403.89715364059,0.02609832248288777,1.0,1.0,1.0,1.0,0.005957307664796706,0.0011914615329593412,0.16666666666666666,0.16666611028284103,2.0843763425834183e-06,0.003009774650508142,2023-04-28 04:38:43.255,202304,99,34,0,0,1,1,0,2,0,61,99,89,99,97,2,99,99,0,16,0
1,2023-04-27,f02055509,0.9994977398292315,0.9995062798296743,0.0,0.0,281474976710656.0,0.010526315401465609,271503136391168.0,0.010475916631316645,0.9645729064941406,0.015531546260102516,121262764457984.0,0.050305481289495156,281474976710656.0,0.010526315401465609,244264185364480.0,0.061158294322468734,281474976710656.0,0.010526315401465609,0.8996735308890005,0.8890238948101178,1.0,1.0,1.0,1.0,1.0,1.0,1525613.0963083878,0.9779321082363004,1263.66220781223,0.002140981822975044,1.0,1.0,1.0,1.0,0.08011063615790798,0.016022127231581595,1.989693388248871e-05,1.92292865761546e-05,8.469550350702253e-06,0.01550614091326553,2023-04-28 04:38:43.255,202304,99,0,1,1,1,5,1,6,1,88,99,99,99,97,0,99,99,1,0,1
2,2023-04-27,f01896674,0.99875,0.9987585336115355,0.5,0.5166666666666666,164926744166400.0,0.006167762768177517,163638253977600.0,0.006313962811441473,0.9921875,0.015976196951392952,97432943722496.0,0.04041975406907188,164926744166400.0,0.006167762768177517,141206176661504.0,0.03535487149981961,164926744166400.0,0.006167762768177517,0.8629166666666667,0.8483652962714325,1.0,1.0,0.9883333333333333,0.9861652277810165,1.0,1.0,1540799.9995833333,0.9926775085807582,0.02041028767354588,3.458048728576562e-08,1.0,1.0,1.0,1.0,0.015233210938714888,0.0030466421877429774,0.0004046944556859571,0.00040402706529376367,3.1383591717565903e-06,0.005072514906491481,2023-04-28 04:38:43.255,202304,99,51,0,0,1,4,0,3,0,84,99,98,99,99,0,99,99,0,0,0
3,2023-04-27,f01941185,0.999839594494883,0.9998481374162319,0.8888888888888888,0.9185185185185184,9851624184872960.0,0.3684210523839142,8501228887605248.0,0.32801891821235835,0.8629266330174037,0.013894836099623874,457130280747008.0,0.1896390786794952,9851624184872960.0,0.3684210523839142,1370913564000256.0,0.3432461267547903,9851624184872960.0,0.3684210523839142,0.16126063444769045,0.07222860643639348,1.0,1.0,0.26207610083952737,0.12494208058606189,1.0,1.0,1421375.7240022777,0.8767250512292543,198009.67015140835,0.3354813509073801,1.0,1.0,1.0,1.0,0.6120509604788773,0.12241019209577546,1.0,1.0,2.1734222701086934e-05,0.041466311119294615,2023-04-28 04:38:43.255,202304,99,91,36,32,1,18,36,34,36,7,99,12,99,87,33,99,99,12,99,4
4,2023-04-27,f02052818,0.9997765795823528,0.9997851219652839,0.5,0.5166666666666666,3940649673949184.0,0.14736842071828418,2288821894905856.0,0.0883139240071995,0.5808234895978656,0.009352406108391657,588484070866944.0,0.24413079109765093,3377699720527872.0,0.12631578913108132,1539154143870976.0,0.385369809066988,3940649673949184.0,0.14736842071828418,0.6724656677291548,0.6376979591380637,1.0,1.0,0.7993833596472937,0.7621012409185066,1.0,1.0,1519381.8629539157,0.971882024898836,8040.217259818789,0.013622278880876446,1.0,1.0,1.0,1.0,0.7381944520796455,0.1476388904159291,1.0,1.0,1.9045691182256118e-05,0.03620461041614097,2023-04-28 04:38:43.255,202304,99,51,14,8,0,24,12,38,14,63,99,76,99,97,1,99,99,14,99,3
5,2023-04-27,f02100534,0.9996124231305875,0.9996209641109179,0.6666666666666667,0.688888888888889,1407374883553280.0,0.05263157857587133,1372413581328384.0,0.05295441685420821,0.9751585006713868,0.01570199569176385,358333684908032.0,0.14865361732786914,1407374883553280.0,0.05263157857587133,780520380170240.0,0.1954248642861706,1407374883553280.0,0.05263157857587133,0.5687209677820007,0.5229407785430789,1.0,1.0,0.7452616936185011,0.6979217333510573,1.0,1.0,1540799.506433776,0.9926770297676969,6.346037087304318,1.075188445760888e-05,1.0,1.0,1.0,1.0,0.7262743628185907,0.14525487256371813,1.0,1.0,4.903513669779148e-05,0.09489668281739827,2023-04-28 04:38:43.255,202304,99,68,5,5,1,14,5,19,5,52,99,69,99,99,0,99,99,14,99,9
6,2023-04-27,f01286383,0.9555555555555556,0.9555637201011493,0.0,0.0,2199023255552.0,8.223645000169013e-05,2181841305600.0,8.418609053303074e-05,0.9921865537762642,0.015976181715280997,367359590400.0,0.0001523975550575632,2199023255552.0,8.223645000169013e-05,1004573982720.0,0.00025152262025551823,2199023255552.0,8.223645000169013e-05,0.4604248623131393,0.40314906157484676,1.0,1.0,0.6950699759197005,0.638402506353135,1.0,1.0,1529510.593939394,0.9817163005677004,973.557917635929,0.0016494675494653074,1.0,1.0,1.0,1.0,0.0019428526571944422,0.0003885705314388884,1.8904306400998148e-05,1.823665843192579e-05,1.2334486081604236e-06,0.0013444316827256747,2023-04-28 04:38:43.255,202304,95,0,0,0,1,0,0,0,0,40,99,63,99,98,0,99,99,0,0,0
7,2023-04-27,f01872946,0.9998919508530737,0.9999004942217706,0.8888888888888888,0.9185185185185184,6682138981297025.0,0.24989185825848714,6625849268764672.0,0.25565761587094143,0.9915760937194056,0.015966352076245034,517335521689600.0,0.21461503614911967,6682138981297025.0,0.24989185825848714,1544165565399040.0,0.38662455705075555,6682138981297025.0,0.24989185825848714,0.23305171952499537,0.1516403018726209,1.0,1.0,0.38796332503241476,0.27422388675652226,1.0,1.0,1528095.4421937063,0.9803422891145064,1154.4888430923882,0.0019560129381154773,1.0,1.0,1.0,1.0,0.2907336103706496,0.05814672207412992,1.0,1.0,2.9898923350793384e-06,0.004781951804118251,2023-04-28 04:38:43.255,202304,99,91,24,25,1,21,24,38,24,15,99,27,99,98,0,99,99,5,99,0
8,2023-04-27,f01924648,0.9996821536165391,0.9996906951926672,0.6666666666666667,0.688888888888889,5629533893951488.0,0.21052760043055116,2465278478778368.0,0.09512248057220389,0.4379187558364512,0.0070513514634190436,393379544301568.0,0.16319228339739003,5629499534213120.0,0.21052631547989278,820270839365632.0,0.20537749115061282,5629533893951488.0,0.21052760043055116,0.3327294853002185,0.2618988439880118,1.0,1.0,0.4822994164338856,0.3860911727481127,1.0,1.0,1522440.6415936542,0.9748518808853707,6214.091465145079,0.010528333276828422,1.0,1.0,1.0,1.0,0.275879159422942,0.0551758318845884,1.0,1.0,7.0434595981723074e-06,0.012715151608215125,2023-04-28 04:38:43.255,202304,99,68,21,9,0,16,21,20,21,26,99,38,99,97,1,99,99,5,99,1
9,2023-04-27,f01980914,0.9999602790003019,0.9999688229528145,0.8,0.8266666666666667,5626332940725126.0,0.2104078944272148,4291345027956736.0,0.16558104391221454,0.7627250418997892,0.01228138824099815,893123953688576.0,0.3705097016008016,5626332940725126.0,0.2104078944272148,2629496284905472.0,0.658367120392422,5626332940725126.0,0.2104078944272148,0.612744085543145,0.5716369420853448,1.0,1.0,1.0,1.0,1.0,1.0,1526400.0,0.9786961356193217,0.0,0.0,1.0,1.0,1.0,1.0,1.1006400391717963,0.22012800783435926,1.0,1.0,9.075517695315079e-06,0.016692074119145903,2023-04-28 04:38:43.255,202304,99,82,21,16,1,37,21,65,21,57,99,99,99,97,0,99,99,22,99,1
